t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
1.8700, 0.0000, 0.0000, 0.0000, -9.5201, 9.5201, 0.0000, -15.8269, 29.6720, -15.2599, 0.3500, 0.0000, 0.0000
1.8800, 0.0000, 0.0000, 0.0000, -11.8999, 11.8999, 0.0000, -15.5062, 30.2441, -16.8291, 0.3500, 0.0000, 0.0000
1.8900, 0.0000, 0.0000, 0.0000, 4.7600, 19.0401, -7.1402, -15.9283, 30.0044, -18.0987, 0.3500, 0.0000, 0.0000
1.9000, 0.0000, 0.0000, 0.0000, -2.3799, -23.7999, -19.0401, -15.3968, 31.7675, -16.9858, 0.3500, 0.0000, 0.0000
1.9100, 0.0000, 0.0000, 0.0000, 2.3801, 4.7600, -14.2803, -15.7183, 32.4652, -16.3226, 0.3500, 0.0000, 0.0000
1.9200, 0.0000, 0.0000, 0.0000, -4.7600, 0.0000, -4.7600, -15.8813, 32.5652, -16.9730, 0.3500, 0.0000, 0.0000
1.9300, 0.0000, 0.0000, 0.0000, 4.7600, 9.5201, -4.7600, -16.6124, 32.7697, -17.0230, 0.3500, 0.0000, 0.0000
1.9400, 0.0000, 0.0000, 0.0000, 0.0000, 4.7598, -4.7600, -16.2755, 34.2386, -16.7303, 0.3500, 0.0000, 0.0000
1.9500, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -9.5198, -15.6650, 35.1316, -16.9401, 0.3500, 0.0000, 0.0000
1.9600, 0.0000, 0.0000, 0.0000, 0.0000, 14.2798, -9.5201, -17.3719, 35.6658, -17.2421, 0.3500, 0.0000, 0.0000
1.9700, 0.0000, 0.0000, 0.0000, 33.3200, 11.8999, 0.0000, -17.5035, 34.8973, -17.6213, 0.3500, 0.0000, 0.0000
1.9800, 0.0000, 0.0000, 0.0000, -2.3801, 0.0000, 14.2798, -17.1003, 35.7830, -18.3164, 0.3500, 0.0000, 0.0000
1.9900, 0.0000, 0.0000, 0.0000, 4.7600, 9.5201, -11.8999, -18.0623, 35.7646, -16.8534, 0.3500, 0.0000, 0.0000
2.0000, 0.0000, 0.0000, 0.0000, -9.5201, 7.1400, -14.2798, -16.8597, 35.5110, -15.9529, 0.3500, 0.0000, 0.0000
2.0100, 0.0000, 0.0000, 0.0000, -21.4200, 4.7600, -4.7598, -15.8626, 35.5299, -16.6175, 0.3500, 0.0000, 0.0000
2.0200, 0.0000, 0.0000, 0.0000, -9.5201, 2.3799, -2.3799, -16.3369, 35.2658, -17.6955, 0.3500, 0.0000, 0.0000
2.0300, 0.0000, 0.0000, 0.0000, -14.2798, 14.2800, 4.7600, -16.7333, 34.6628, -16.8483, 0.3500, 0.0000, 0.0000
2.0400, 0.0000, 0.0000, 0.0000, -4.7603, 7.1399, 4.7600, -16.3863, 35.2592, -17.5170, 0.3500, 0.0000, 0.0000
2.0500, 0.0000, 0.0000, 0.0000, -4.7603, 7.1400, 0.0000, -15.8939, 34.2989, -17.6809, 0.3500, 0.0000, 0.0000
2.0600, 0.0000, 0.0000, 0.0000, 0.0000, 19.0399, -2.3801, -16.4334, 33.9430, -17.1635, 0.3500, 0.0000, 0.0000
2.0700, 0.0000, 0.0000, 0.0000, -4.7598, 16.6600, -2.3799, -16.1214, 34.6042, -17.0773, 0.3500, 0.0000, 0.0000
2.0800, 0.0000, 0.0000, 0.0000, 0.0000, 11.9000, -16.6597, -15.8855, 33.8065, -17.1752, 0.3500, 0.0000, 0.0000
2.0900, 0.0000, 0.0000, 0.0000, -42.8400, 30.9399, -14.2798, -14.4143, 32.1859, -17.1542, 0.3500, 0.0000, 0.0000
2.1000, 0.0000, 0.0000, 0.0000, 0.0000, 23.8000, -7.1399, -16.1893, 31.8471, -17.0511, 0.3500, 0.0000, 0.0000
2.1100, 0.0000, 0.0000, 0.0000, -2.3799, 11.9000, 0.0000, -16.7980, 31.1804, -17.9796, 0.3500, 0.0000, 0.0000
